State,State_Abbreviation,Year,EduLevel,EduLevelCode,Births
Texas,TX,2016,"Associate degree (AA, AS)",5,24479
Texas,TX,2016,"Bachelor's degree (BA, AB, BS)",6,71613
Texas,TX,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,7805
Texas,TX,2016,High school graduate or GED completed,3,106705
Texas,TX,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,26219
Texas,TX,2016,"Some college credit, but not a degree",4,86833
Texas,TX,2016,Unknown or Not Stated,-9,588
Texas,TX,2017,8th grade or less,1,12913
Texas,TX,2017,9th through 12th grade with no diploma,2,53647
Texas,TX,2017,"Associate degree (AA, AS)",5,24008
Texas,TX,2017,"Bachelor's degree (BA, AB, BS)",6,69377
Texas,TX,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,7731
Texas,TX,2017,High school graduate or GED completed,3,105131
Texas,TX,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,25678
Texas,TX,2017,"Some college credit, but not a degree",4,82983
Texas,TX,2017,Unknown or Not Stated,-9,582
Texas,TX,2018,8th grade or less,1,11958
Texas,TX,2018,9th through 12th grade with no diploma,2,50716
Texas,TX,2018,"Associate degree (AA, AS)",5,24990
Texas,TX,2018,"Bachelor's degree (BA, AB, BS)",6,70725
Texas,TX,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,7873
Texas,TX,2018,High school graduate or GED completed,3,105680
Texas,TX,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,26381
Texas,TX,2018,"Some college credit, but not a degree",4,79731
Texas,TX,2018,Unknown or Not Stated,-9,570
Texas,TX,2019,8th grade or less,1,12754
Texas,TX,2019,9th through 12th grade with no diploma,2,46208
Texas,TX,2019,"Associate degree (AA, AS)",5,24938
Texas,TX,2019,"Bachelor's degree (BA, AB, BS)",6,70820
Texas,TX,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,7884
Texas,TX,2019,High school graduate or GED completed,3,107476
Texas,TX,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,27101
Texas,TX,2019,"Some college credit, but not a degree",4,79441
